316:;24474,24025
601:18581463;
319: 626455;
306: 5334607;
335: ; 9127632
356: 13530298;
318: ; 3395488
649: 18994196;
669: 314855; 
393: 9587; 10477944
689: 231085;		
326: 50771;					
611: 11867;					
605: 15864775;					
312	:14133;				
330	:18013870, 14653, 7515928	 
317	:712475;					
635	: ;428966							
346: 9008442;	9252			
313	:822307;					
379	:3614746;					
327	: 17168143;					
404:680339;					
418	:89202;					
679	:;35937111					
442	:;9418,	1261305						
606:6520040;	19166409,	248234				
654:1515358;	5488304	,28022		 	
655	:64976;20689902		  				
671:;		2945494							
657	:; 	17253537 
661	:;	7172, 	10055		 					
692:;	 	1463215,	13311819		  						
681:;		17516		 						
663:;	202522		  				
651:;		22949		 						
698:;332372					
696	:;252712	 					
629	:; 31981	 				
666	:;	52382		 					
609	:;357788 						
631	:;24356889		 					
636: 2514888;	960403		 			
448: 272778;	19417927		 				
345: ;235890, 296328		 				
347	:49417;	18783051	 		
350 :29575318;	8587640			 			
430	:;	5058690		 					
374	: 21201;52497,	8053459		  			
613	:;	146382		  					
618	:;	5902		 						
386	:;	128987		 					
342	:;	61095		 					
407	:;	1219810		  					
426	:;30871819	 					
357	:;	8619057		 						
373	:;	51462	 					
384	:;	19331		 					
401	:152735;	21212		 			
378	:	;3379016		 						
621	:13631; 217115		 				
339	:;	33632441	,1778796		 			
431	:;	29816	 					
380	:;	13311819		 								
627	:25391;644135		 				
645	:	5309;					
395	:	29789			;		
438	:29789;					
446		:29789;				 						
408	:		8282374		;			
363	: 160832;					
670		:	 8893999	,	924170			
